title,qid,url
Annabel Lee,Q564072,https://en.wikipedia.org/wiki/Annabel_Lee
Annals (Tacitus),Q564358,https://en.wikipedia.org/wiki/Annals_(Tacitus)
Anne of Green Gables,Q565911,https://en.wikipedia.org/wiki/Anne_of_Green_Gables
Annie Hall,Q233464,https://en.wikipedia.org/wiki/Annie_Hall
Anpanman,Q568361,https://en.wikipedia.org/wiki/Anpanman
Antagonist,Q245204,https://en.wikipedia.org/wiki/Antagonist
Anthem,Q541947,https://en.wikipedia.org/wiki/Anthem
Anthropomorphism,Q132987,https://en.wikipedia.org/wiki/Anthropomorphism
Antigone (Sophocles play),Q241077,https://en.wikipedia.org/wiki/Antigone_(Sophocles_play)
Antihero,Q110910,https://en.wikipedia.org/wiki/Antihero
Antiques Roadshow,Q3052933,https://en.wikipedia.org/wiki/Antiques_Roadshow
Antiquities of the Jews,Q1232616,https://en.wikipedia.org/wiki/Antiquities_of_the_Jews
Aphorism,Q165740,https://en.wikipedia.org/wiki/Aphorism
Apocalypse Now,Q182692,https://en.wikipedia.org/wiki/Apocalypse_Now
Apocalyptic and post-apocalyptic fiction,Q197949,https://en.wikipedia.org/wiki/Apocalyptic_and_post-apocalyptic_fiction
Apollo and Daphne (Bernini),Q945850,https://en.wikipedia.org/wiki/Apollo_and_Daphne_(Bernini)
Appalachian Spring,Q620638,https://en.wikipedia.org/wiki/Appalachian_Spring
Appetite for Destruction,Q270690,https://en.wikipedia.org/wiki/Appetite_for_Destruction
Applied arts,Q207241,https://en.wikipedia.org/wiki/Applied_arts
Arab cinema,Q4783281,https://en.wikipedia.org/wiki/Arab_cinema
Archbasilica of Saint John Lateran,Q84090,https://en.wikipedia.org/wiki/Archbasilica_of_Saint_John_Lateran
Architectural painting,Q18353841,https://en.wikipedia.org/wiki/Architectural_painting
Architectural style,Q32880,https://en.wikipedia.org/wiki/Architectural_style
Architecture in the United States,Q2304178,https://en.wikipedia.org/wiki/Architecture_in_the_United_States
Architecture of Africa,Q511049,https://en.wikipedia.org/wiki/Architecture_of_Africa
Architecture of Australia,Q2860293,https://en.wikipedia.org/wiki/Architecture_of_Australia
Architecture of Germany,Q635231,https://en.wikipedia.org/wiki/Architecture_of_Germany
Architecture of Israel,Q2087869,https://en.wikipedia.org/wiki/Architecture_of_Israel
Architecture of Russia,Q65197983,https://en.wikipedia.org/wiki/Architecture_of_Russia
Architecture of Turkey,Q4787206,https://en.wikipedia.org/wiki/Architecture_of_Turkey
Architecture of the Netherlands,Q4070862,https://en.wikipedia.org/wiki/Architecture_of_the_Netherlands
Architecture of the Song dynasty,Q354964,https://en.wikipedia.org/wiki/Architecture_of_the_Song_dynasty
Architecture of the United Kingdom,Q1189662,https://en.wikipedia.org/wiki/Architecture_of_the_United_Kingdom
Are You Experienced,Q640397,https://en.wikipedia.org/wiki/Are_You_Experienced
"Are You There God? It's Me, Margaret.",Q4466947,"https://en.wikipedia.org/wiki/Are_You_There_God?_It's_Me,_Margaret."
Area (architecture),Q4788508,https://en.wikipedia.org/wiki/Area_(architecture)
Arg-e Bam,Q43277,https://en.wikipedia.org/wiki/Arg-e_Bam
L'après-midi d'un faune (poem),Q1880607,https://en.wikipedia.org/wiki/L'après-midi_d'un_faune_(poem)
ASCII art,Q193097,https://en.wikipedia.org/wiki/ASCII_art
Arirang,Q653836,https://en.wikipedia.org/wiki/Arirang
Arjuna,Q185790,https://en.wikipedia.org/wiki/Arjuna
Around the World in Eighty Days,Q1219561,https://en.wikipedia.org/wiki/Around_the_World_in_Eighty_Days
Arpeggio,Q506986,https://en.wikipedia.org/wiki/Arpeggio
Arrangement,Q379755,https://en.wikipedia.org/wiki/Arrangement
Arsène Lupin,Q461606,https://en.wikipedia.org/wiki/Arsène_Lupin
Art Gallery of Ontario,Q670250,https://en.wikipedia.org/wiki/Art_Gallery_of_Ontario
Art Institute of Chicago,Q239303,https://en.wikipedia.org/wiki/Art_Institute_of_Chicago
Art gallery,Q1007870,https://en.wikipedia.org/wiki/Art_gallery
Art museum,Q207694,https://en.wikipedia.org/wiki/Art_museum
Art music,Q1583807,https://en.wikipedia.org/wiki/Art_music
Art rock,Q217467,https://en.wikipedia.org/wiki/Art_rock
Art school,Q383092,https://en.wikipedia.org/wiki/Art_school
Art world,Q2493043,https://en.wikipedia.org/wiki/Art_world
Artemis and the Stag,Q4797478,https://en.wikipedia.org/wiki/Artemis_and_the_Stag
Arthashastra,Q323133,https://en.wikipedia.org/wiki/Arthashastra
Articulation (music),Q372923,https://en.wikipedia.org/wiki/Articulation_(music)
Artist's book,Q1062404,https://en.wikipedia.org/wiki/Artist's_book
As I Lay Dying,Q1544119,https://en.wikipedia.org/wiki/As_I_Lay_Dying
As You Like It,Q237572,https://en.wikipedia.org/wiki/As_You_Like_It
Astral Weeks,Q750452,https://en.wikipedia.org/wiki/Astral_Weeks
Astro Boy,Q673036,https://en.wikipedia.org/wiki/Astro_Boy
Athena Parthenos,Q2070605,https://en.wikipedia.org/wiki/Athena_Parthenos
Athena Promachos,Q755221,https://en.wikipedia.org/wiki/Athena_Promachos
Athenaeum Portrait,Q28796116,https://en.wikipedia.org/wiki/Athenaeum_Portrait
Atlas Shrugged,Q374098,https://en.wikipedia.org/wiki/Atlas_Shrugged
Atonality,Q211745,https://en.wikipedia.org/wiki/Atonality
Atonement (novel),Q306619,https://en.wikipedia.org/wiki/Atonement_(novel)
Attack on Titan,Q586025,https://en.wikipedia.org/wiki/Attack_on_Titan
Au hasard Balthazar,Q228937,https://en.wikipedia.org/wiki/Au_hasard_Balthazar
Audition,Q1292520,https://en.wikipedia.org/wiki/Audition
Auditorium,Q230752,https://en.wikipedia.org/wiki/Auditorium
Auld Lang Syne,Q211939,https://en.wikipedia.org/wiki/Auld_Lang_Syne
Auschwitz Album,Q667830,https://en.wikipedia.org/wiki/Auschwitz_Album
Austerlitz (novel),Q473389,https://en.wikipedia.org/wiki/Austerlitz_(novel)
Australian literature,Q781919,https://en.wikipedia.org/wiki/Australian_literature
Austrian literature,Q303779,https://en.wikipedia.org/wiki/Austrian_literature
Author,Q482980,https://en.wikipedia.org/wiki/Author
Automotive design,Q787489,https://en.wikipedia.org/wiki/Automotive_design
Avatar: The Last Airbender,Q11572,https://en.wikipedia.org/wiki/Avatar:_The_Last_Airbender
Avatar (2009 film),Q24871,https://en.wikipedia.org/wiki/Avatar_(2009_film)
Ave Maria (Bach/Gounod),Q790310,https://en.wikipedia.org/wiki/Ave_Maria_(Bach/Gounod)
Ave Maria (Schubert),Q1331995,https://en.wikipedia.org/wiki/Ave_Maria_(Schubert)
Ave verum corpus (Mozart),Q955663,https://en.wikipedia.org/wiki/Ave_verum_corpus_(Mozart)
Away in a Manger,Q791656,https://en.wikipedia.org/wiki/Away_in_a_Manger
L'Arlésienne (Bizet),Q1850215,https://en.wikipedia.org/wiki/L'Arlésienne_(Bizet)
L'Avventura,Q514531,https://en.wikipedia.org/wiki/L'Avventura
The Art of Computer Programming,Q82438,https://en.wikipedia.org/wiki/The_Art_of_Computer_Programming
The Autobiography of Malcolm X,Q2281600,https://en.wikipedia.org/wiki/The_Autobiography_of_Malcolm_X
...Baby One More Time,Q155016,https://en.wikipedia.org/wiki/...Baby_One_More_Time
Aztec architecture,Q4832964,https://en.wikipedia.org/wiki/Aztec_architecture
Baburnama,Q1906014,https://en.wikipedia.org/wiki/Baburnama
Babylon 5,Q210146,https://en.wikipedia.org/wiki/Babylon_5
Bacchus and Ariadne,Q1206860,https://en.wikipedia.org/wiki/Bacchus_and_Ariadne
Back in Black,Q155715,https://en.wikipedia.org/wiki/Back_in_Black
Back to the Future,Q91540,https://en.wikipedia.org/wiki/Back_to_the_Future
Background music,Q1353390,https://en.wikipedia.org/wiki/Background_music
Bad (album),Q44142,https://en.wikipedia.org/wiki/Bad_(album)
Badshahi Mosque,Q330872,https://en.wikipedia.org/wiki/Badshahi_Mosque
Bagan,Q29317,https://en.wikipedia.org/wiki/Bagan
Bal du moulin de la Galette,Q683274,https://en.wikipedia.org/wiki/Bal_du_moulin_de_la_Galette
Balalaika,Q178389,https://en.wikipedia.org/wiki/Balalaika
Balkan music,Q3211884,https://en.wikipedia.org/wiki/Balkan_music
Ballades (Chopin),Q6541319,https://en.wikipedia.org/wiki/Ballades_(Chopin)
Ballet dancer,Q805221,https://en.wikipedia.org/wiki/Ballet_dancer
Ballet technique,Q1037567,https://en.wikipedia.org/wiki/Ballet_technique
Banality (sculpture series),Q4853805,https://en.wikipedia.org/wiki/Banality_(sculpture_series)
Bande dessinée,Q1431020,https://en.wikipedia.org/wiki/Bande_dessinée
Banjo,Q258896,https://en.wikipedia.org/wiki/Banjo
Bar (music),Q3240892,https://en.wikipedia.org/wiki/Bar_(music)
"Barack Obama ""Hope"" poster",Q5842038,"https://en.wikipedia.org/wiki/Barack_Obama_""Hope""_poster"
Barbershop music,Q807820,https://en.wikipedia.org/wiki/Barbershop_music
Barge Haulers on the Volga,Q175628,https://en.wikipedia.org/wiki/Barge_Haulers_on_the_Volga
Baritone,Q31687,https://en.wikipedia.org/wiki/Baritone
Barney & Friends,Q213588,https://en.wikipedia.org/wiki/Barney_&_Friends
Baroque sculpture,Q2763408,https://en.wikipedia.org/wiki/Baroque_sculpture
Barry Lyndon,Q471716,https://en.wikipedia.org/wiki/Barry_Lyndon
Bass (sound),Q810451,https://en.wikipedia.org/wiki/Bass_(sound)
Bass (voice type),Q27911,https://en.wikipedia.org/wiki/Bass_(voice_type)
Bass drum,Q211028,https://en.wikipedia.org/wiki/Bass_drum
